version,time,accuracy,precision,recall,fscore
6306c188f824279c50dc6f86f6361374be8276ea,1.387219,0.969697,0.971286,0.969697,0.969738
9c3e66e8d1867ceea068357b1f122af161732276,1.493427,0.969697,0.971286,0.969697,0.969738
40001241aa6baee644f75e354cbc56f10bcd2ae3,1.348702,0.969697,0.971286,0.969697,0.969738
72174a712557ebddadbd5066208eeb35824411cf,1.318886,0.969697,0.971286,0.969697,0.969738
f9c5458e8557a612ae608d6db837402fceb81241,0.861083,0.969697,0.971286,0.969697,0.969738
404f24cb7ae1f2cea797aa4f1402cabff0b612a7,1.549684,0.969697,0.971286,0.969697,0.969738
84ea07dfab90eee2cbe2084519123d31e32babca,1.486404,0.969697,0.971286,0.969697,0.969738
c467d54224bab39fd0be8320805b368828042b0a,1.600321,0.969697,0.971286,0.969697,0.969738
570b4a312a7962e2d92148a8e90be618a6d881ae,1.589017,0.969697,0.971286,0.969697,0.969738
ebc7a6c3327c6f02818ba168ab091489872570aa,1.187632,0.969697,0.971286,0.969697,0.969738
e3da7a499099f1a15cb77d447c4564155568dd82,1.521106,0.969697,0.971286,0.969697,0.969738
eba34defc3192acceb2bf56a43ffcb5c2c1d955b,1.529459,0.969697,0.971286,0.969697,0.969738
42b1510d30de3716d3fa81059fcb21a8a1d76bb4,1.529626,0.969697,0.971286,0.969697,0.969738
b064bb9fd071c714e563d7eea225ecceca2713be,1.467230,0.969697,0.971286,0.969697,0.969738
3ea18da2db705865a0949ee97044a6cdc6cac623,1.476042,0.969697,0.971286,0.969697,0.969738
bc5deea740c1471851f9f6d59d2a2804a1508a2d,1.478211,0.969697,0.971286,0.969697,0.969738
f548b996725c2069e1e28350658d0ce74e407c27,1.498499,0.969697,0.971286,0.969697,0.969738
5b3cb5ce746e547cb82dfed4e5a5a4ffb79bf09a,1.469067,0.969697,0.971286,0.969697,0.969738
835af056243c1529f5b7ee44f39c3cd8ee2cf36c,1.008259,0.969697,0.971286,0.969697,0.969738
249ea7bd0df19fca7e6a2d9863d02b1670fe77f5,1.494361,0.969697,0.971286,0.969697,0.969738
de3991a5b5a931ce09d6e9017fc90e202e20e6c9,1.533989,0.969697,0.971286,0.969697,0.969738
44df9a2126210711028ee950b2635396fec90cdf,1.375661,0.969697,0.971286,0.969697,0.969738
d14f7b715eaf71c622549a3bffde51f5dac09408,1.461644,0.969697,0.971286,0.969697,0.969738
5a79a4ce63607b66d0ca532d480b0e9bb665a7e1,1.380773,0.969697,0.971286,0.969697,0.969738
0f0a5aa5688678c4adfdb696c0b6821d4404b6b0,1.502942,0.969697,0.971286,0.969697,0.969738
88acd3c283f605b662d1598cc7d42de2db7f57a8,1.424982,0.969697,0.971286,0.969697,0.969738
50a42f0144674832dcba7ae0867be3e2056f269f,1.313249,0.969697,0.971286,0.969697,0.969738
1caa9e77934e2ef5ad88c92583ce7e78d8c13d7f,1.517732,0.969697,0.971286,0.969697,0.969738
1c75bd88fff7c7650d27828c836d7de3bde37f35,1.481824,0.969697,0.971286,0.969697,0.969738
0f21fce652e133f837628112ee58f9360d7d795b,1.498228,0.969697,0.971286,0.969697,0.969738
68d77d41cc5193c5dc5685b8ad8cb98377467730,1.503192,0.969697,0.971286,0.969697,0.969738
17ecf4ebb82c202e3b918e4803f7a3e6eece3555,1.520507,0.969697,0.971286,0.969697,0.969738
94194512241079320e051050766f7baf5ea83b54,1.529310,0.969697,0.971286,0.969697,0.969738
be82adc2ebe0f0f2a5d99e475d3358e2e963e976,1.499704,0.969697,0.971286,0.969697,0.969738
d340e0e69bd2d0c7cf453318d422759dfc4ce461,1.400120,0.969697,0.971286,0.969697,0.969738
b9f62bf71b7f2490d058d7926e15c8a92d5fb553,1.489252,0.969697,0.971286,0.969697,0.969738
6de59449bf44e71957b3d81fbc08e4730b3d0630,1.545156,0.969697,0.971286,0.969697,0.969738
603eadd4b92f8c732ceb56be51a45145f7c645de,0.795036,0.969697,0.971286,0.969697,0.969738
6058567e78bb49bf981f7f4f892fbff30a6f27f0,1.523232,0.969697,0.971286,0.969697,0.969738
fdfcf9c2c59b8699ade104e2591936a83eed7c1f,1.463377,0.969697,0.971286,0.969697,0.969738
a161f3dbbeaff3d3496f899f99b8a7dd1248c1a0,1.487156,0.969697,0.971286,0.969697,0.969738
1890d6eefac1763de120021cfeb46ce3317a564a,1.427870,0.969697,0.971286,0.969697,0.969738
251fa607fdd110ede10088ed2b7a1f245ab3281c,1.493744,0.969697,0.971286,0.969697,0.969738
5ecc1611ff08b297c08fc69c693a96585a5faf52,1.451268,0.969697,0.971286,0.969697,0.969738
493c7cc327be01821c03a3d6be019de9997cd595,1.046361,0.969697,0.971286,0.969697,0.969738
8920d482ca49798f26863290975b462d82f262e2,1.492441,0.969697,0.971286,0.969697,0.969738
c72dbd5f617ee47a567ca764e6a94e9e7cfcbaf1,1.386790,0.969697,0.971286,0.969697,0.969738
e6a5713e02748094ed4cae21c89e00a5380a438d,1.362231,0.969697,0.971286,0.969697,0.969738
9aec58630a71083c6ac06a53fef49b4d94a92a29,1.502255,0.969697,0.971286,0.969697,0.969738
db7d0d29cf1168f4d4a13ef1d370104f434235a5,1.512179,0.969697,0.971286,0.969697,0.969738
1dfc7689511b9d6a835a0db26a2471281a1d9544,1.525020,0.969697,0.971286,0.969697,0.969738
f20995006d6b549f5496f6e1d320acdca81bec15,1.458511,0.969697,0.971286,0.969697,0.969738
cef8de767586025c07ce3bc525059d14bbaabdb8,1.505145,0.969697,0.971286,0.969697,0.969738
