init,time,accuracy,precision,recall,fscore
svc,0.405917,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.152107,0.944444,0.962166,0.944444,0.948446
nu_svc,1.530759,0.932660,0.935737,0.932660,0.932959
lin_svc,0.398009,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.388607,0.942761,0.945108,0.942761,0.942691
knn-auto,0.166369,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.167636,0.969697,0.971286,0.969697,0.969738
knn-brute,0.334822,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.506982,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.927163,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.107953,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.092333,0.090909,0.008264,0.090909,0.015152
multinomianb,0.030138,0.090909,0.008264,0.090909,0.015152
logreg,0.406539,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.142804,0.934343,0.936444,0.934343,0.934802
