init,time,accuracy,precision,recall,fscore
svc,0.344019,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.811976,0.944444,0.962166,0.944444,0.948446
nu_svc,1.139195,0.932660,0.935737,0.932660,0.932959
lin_svc,0.341240,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.342080,0.942761,0.945108,0.942761,0.942691
knn-auto,0.150551,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.150791,0.969697,0.971286,0.969697,0.969738
knn-brute,0.215463,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.117384,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.206429,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.022112,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.009299,0.090909,0.008264,0.090909,0.015152
multinomianb,0.004022,0.090909,0.008264,0.090909,0.015152
logreg,0.361552,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.029470,0.934343,0.936444,0.934343,0.934802
