init,time,accuracy,precision,recall,fscore
svc,0.413323,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.140800,0.944444,0.962166,0.944444,0.948446
nu_svc,1.520570,0.932660,0.935737,0.932660,0.932959
lin_svc,0.354662,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.341293,0.942761,0.945108,0.942761,0.942691
knn-auto,0.104328,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.104038,0.969697,0.971286,0.969697,0.969738
knn-brute,0.243071,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.414255,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.096765,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.005621,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.083919,0.090909,0.008264,0.090909,0.015152
multinomianb,0.011267,0.090909,0.008264,0.090909,0.015152
logreg,0.404110,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.017000,0.934343,0.936444,0.934343,0.934802
