init,time,accuracy,precision,recall,fscore
svc,0.566701,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.337499,0.944444,0.962166,0.944444,0.948446
nu_svc,1.678501,0.932660,0.935737,0.932660,0.932959
lin_svc,0.487333,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.458226,0.942761,0.945108,0.942761,0.942691
knn-auto,0.157154,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.178101,0.969697,0.971286,0.969697,0.969738
knn-brute,0.355328,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.227523,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.933685,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.079308,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.009225,0.090909,0.008264,0.090909,0.015152
multinomianb,0.005055,0.090909,0.008264,0.090909,0.015152
logreg,0.455360,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.030697,0.934343,0.936444,0.934343,0.934802
