init,time,accuracy,precision,recall,fscore
svc,0.401203,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.142950,0.944444,0.962166,0.944444,0.948446
nu_svc,1.225929,0.932660,0.935737,0.932660,0.932959
lin_svc,0.382450,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.403750,0.942761,0.945108,0.942761,0.942691
knn-auto,0.164125,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.164776,0.969697,0.971286,0.969697,0.969738
knn-brute,0.335288,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.485318,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.720774,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.112762,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.039193,0.090909,0.008264,0.090909,0.015152
multinomianb,0.020182,0.090909,0.008264,0.090909,0.015152
logreg,0.405625,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.030417,0.934343,0.936444,0.934343,0.934802
