init,time,accuracy,precision,recall,fscore
svc,0.401989,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.767606,0.077441,0.005997,0.077441,0.011132
nu_svc,1.479145,0.932660,0.935737,0.932660,0.932959
lin_svc,0.405694,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.385945,0.942761,0.945108,0.942761,0.942691
knn-auto,0.249017,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.177926,0.969697,0.971286,0.969697,0.969738
knn-brute,0.164437,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.207338,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.630211,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.016138,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.095043,0.090909,0.008264,0.090909,0.015152
multinomianb,0.024255,0.090909,0.008264,0.090909,0.015152
logreg,0.402034,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.021332,0.934343,0.936444,0.934343,0.934802
