init,time,accuracy,precision,recall,fscore
svc,0.456442,0.974747,0.975153,0.974747,0.974804
rbf_svc,2.220441,0.077441,0.005997,0.077441,0.011132
nu_svc,1.441538,0.932660,0.935737,0.932660,0.932959
lin_svc,0.355384,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.334836,0.942761,0.945108,0.942761,0.942691
knn-auto,0.151098,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.235269,0.969697,0.971286,0.969697,0.969738
knn-brute,0.220298,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.220544,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.810726,0.973064,0.974624,0.973064,0.973176
logreg,0.398516,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.109731,0.934343,0.936444,0.934343,0.934802
