init,time,accuracy,precision,recall,fscore
svc,0.412661,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.156914,0.944444,0.962166,0.944444,0.948446
nu_svc,1.548021,0.932660,0.935737,0.932660,0.932959
lin_svc,0.421503,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.403815,0.942761,0.945108,0.942761,0.942691
knn-auto,0.176602,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.175992,0.969697,0.971286,0.969697,0.969738
knn-brute,0.163421,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.533908,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.824961,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.021504,0.851852,0.855789,0.851852,0.852395
gaussiannb,0.088002,0.090909,0.008264,0.090909,0.015152
multinomianb,0.041302,0.090909,0.008264,0.090909,0.015152
logreg,0.381771,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.029268,0.934343,0.936444,0.934343,0.934802
