init,time,accuracy,precision,recall,fscore
svc,0.383137,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.989312,0.077441,0.005997,0.077441,0.011132
nu_svc,1.504713,0.932660,0.935737,0.932660,0.932959
lin_svc,0.396835,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.399838,0.942761,0.945108,0.942761,0.942691
knn-auto,0.332206,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.155733,0.969697,0.971286,0.969697,0.969738
knn-brute,0.277560,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.294269,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.611115,0.973064,0.974624,0.973064,0.973176
logreg,0.355774,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.016461,0.934343,0.936444,0.934343,0.934802
