init,time,accuracy,precision,recall,fscore
svc,0.323974,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.940710,0.077441,0.005997,0.077441,0.011132
nu_svc,1.473296,0.932660,0.935737,0.932660,0.932959
lin_svc,0.415159,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.409736,0.942761,0.945108,0.942761,0.942691
knn-auto,0.249289,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.250343,0.969697,0.971286,0.969697,0.969738
knn-brute,0.285515,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.236960,0.969697,0.971286,0.969697,0.969738
logreg,0.419793,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.017490,0.934343,0.936444,0.934343,0.934802
