init,time,accuracy,precision,recall,fscore
svc,0.403953,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.460966,0.077441,0.005997,0.077441,0.011132
nu_svc,1.298713,0.932660,0.935737,0.932660,0.932959
lin_svc,0.406602,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.371656,0.942761,0.945108,0.942761,0.942691
knn-auto,0.221845,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.198363,0.969697,0.971286,0.969697,0.969738
knn-brute,0.200504,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.257264,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.453561,0.973064,0.974624,0.973064,0.973176
logreg,0.401977,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.061873,0.934343,0.936444,0.934343,0.934802
