init,time,accuracy,precision,recall,fscore
svc,0.404852,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.901650,0.077441,0.005997,0.077441,0.011132
nu_svc,1.494057,0.932660,0.935737,0.932660,0.932959
lin_svc,0.405514,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.387593,0.942761,0.945108,0.942761,0.942691
knn-auto,0.145396,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.318253,0.969697,0.971286,0.969697,0.969738
knn-brute,0.136222,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.187373,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.325050,0.973064,0.974624,0.973064,0.973176
logreg,0.399909,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.037722,0.934343,0.936444,0.934343,0.934802
