init,time,accuracy,precision,recall,fscore
svc,0.410189,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.955564,0.077441,0.005997,0.077441,0.011132
nu_svc,1.413709,0.932660,0.935737,0.932660,0.932959
lin_svc,0.339299,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.353363,0.942761,0.945108,0.942761,0.942691
knn-auto,0.268138,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.269445,0.969697,0.971286,0.969697,0.969738
knn-brute,0.185979,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.214103,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.630219,0.973064,0.974624,0.973064,0.973176
gnb,0.009247,0.090909,0.008264,0.090909,0.015152
logreg,0.402270,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.050065,0.934343,0.936444,0.934343,0.934802
