version,time,accuracy,precision,recall,fscore
ab29811583e1854dcf48e36be9c4929fe5fad12a,3.637744,0.973064,0.974624,0.973064,0.973176
85fa92a0aacc5a459dc041435ebaaa87f5491a84,4.018712,0.973064,0.974624,0.973064,0.973176
df1fda031a87449246b3a1e0eff315f9aad0f824,3.924348,0.973064,0.974624,0.973064,0.973176
dd64030c1f9297260dfd5acd0953fc1f71da63bd,3.979150,0.973064,0.974624,0.973064,0.973176
d3bfaa5eafc2a584e04e50cc7b2e541d22f52758,3.819736,0.973064,0.974624,0.973064,0.973176
aa84b2d13d300a42a8421f13ef930047f0aab3cb,3.703929,0.973064,0.974624,0.973064,0.973176
a97e2996d14c8935be8307a2b16fed18c52cb60a,4.314055,0.973064,0.974624,0.973064,0.973176
a40922a87d0b1358ef3b4b1b96a7b5de2a402df1,3.947506,0.973064,0.974624,0.973064,0.973176
96b79a138c8926b620596bd75b292ebfbe006381,3.809473,0.973064,0.974624,0.973064,0.973176
f1320bdaae508268a38f60d7f4de3259f0c259e6,3.994677,0.973064,0.974624,0.973064,0.973176
dfd3a83ec24f034ebdfdecb1014e7908548090cd,3.897832,0.973064,0.974624,0.973064,0.973176
325bcfd74914a41fa02849f6372b22daa88883d1,3.695428,0.973064,0.974624,0.973064,0.973176
947b1b6875c195ffc40fa9f95fa830af0e14fa97,3.872501,0.973064,0.974624,0.973064,0.973176
ee146547cd412b367f9111fd5eabb2be221f8333,3.764058,0.973064,0.974624,0.973064,0.973176
b094000f02d3903a64b649070e3f9f4c0f2b65b6,3.893578,0.973064,0.974624,0.973064,0.973176
aecc0b44d487c4477ac287aac50a08fdc22ad583,3.740431,0.973064,0.974624,0.973064,0.973176
7602e4f51d0dda1844dc3b6155651fe11e12bd7d,3.718608,0.973064,0.974624,0.973064,0.973176
1c7fd2f8e8348bb2f9c1310666203b3542db9d92,3.836433,0.973064,0.974624,0.973064,0.973176
55bcfed227ec9912b3a461e984446b1fabc99545,3.562338,0.973064,0.974624,0.973064,0.973176
e0a1b362571c6c6ff47b75b2b815517bd2cfae1d,3.509770,0.973064,0.974624,0.973064,0.973176
be2d75a1e86ba14f7b837e40563b1b8c9cc3109a,3.643460,0.973064,0.974624,0.973064,0.973176
9703c23daa035d792bc4af400bd8665152606dc8,4.208729,0.973064,0.974624,0.973064,0.973176
b3804e95d8f77b9d584b7463949153fad39b61fd,3.973298,0.973064,0.974624,0.973064,0.973176
2dd421d4948e1c30a9cbc669090fafd8adbdc2c6,4.217518,0.973064,0.974624,0.973064,0.973176
629f763a950323e7c92d6cbf8ae664ca511a4b6e,3.246613,0.973064,0.974624,0.973064,0.973176
fa8ae78dd6df907f6745ab1def9e2d64cf66fc04,3.806650,0.973064,0.974624,0.973064,0.973176
d7e64beb01682e5dc006b4af33f76b48c280f1ce,3.786430,0.973064,0.974624,0.973064,0.973176
33c4d15aec402cbc64079c0fe5510cf8f1a7240e,3.228766,0.973064,0.974624,0.973064,0.973176
e04d4f8e736e6b791c3ea8ddba0183b9bb75280c,3.915810,0.973064,0.974624,0.973064,0.973176
c9860970cf8f947a74d804a89408ca0874f6597a,3.723271,0.973064,0.974624,0.973064,0.973176
1d1b4dc42c3653ba4a4a152274a81faa4ff3e1fb,3.528038,0.973064,0.974624,0.973064,0.973176
485428033ca1eb5edc3dcc88350ca7b2e157ccc7,3.671934,0.973064,0.974624,0.973064,0.973176
4ec4a02e5991150af5154ce78afff39b99a8c7b4,3.413781,0.973064,0.974624,0.973064,0.973176
81bcf5adfd5e473418a4d27f1f097b1e1eaad2da,3.566406,0.973064,0.974624,0.973064,0.973176
a7c3e46e4ca511682865a3ca82cfeab695709bd3,3.859613,0.973064,0.974624,0.973064,0.973176
a8bf9e5be96729a9a668fbb92428e836558e9d09,3.899508,0.973064,0.974624,0.973064,0.973176
6dd017e1cf3167b114acc81ef29b7c0d5a81addf,3.966445,0.973064,0.974624,0.973064,0.973176
6731b648570c98fb4d79ef7e23f42f565ada1158,3.841806,0.973064,0.974624,0.973064,0.973176
b94c8fcaaceaeaf388400050419b8215ef076118,3.024493,0.973064,0.974624,0.973064,0.973176
996eff0d9353c22a8dc0878bf77dd338238d4687,3.724526,0.973064,0.974624,0.973064,0.973176
c0c1ee3fb140b5012d1d920abfd1b60962ea0dd8,3.989840,0.973064,0.974624,0.973064,0.973176
a72e89e3c96285c284d583d63346a772bd8f9ca2,3.809491,0.973064,0.974624,0.973064,0.973176
57cf25f3e1555fb54796fce611cd37a542648937,3.257501,0.973064,0.974624,0.973064,0.973176
f4f55acbcc07e941d324f1173f7cee1b73019106,3.926454,0.973064,0.974624,0.973064,0.973176
5724245de984cc08517cfccba9fef443ec4b15f9,4.015604,0.973064,0.974624,0.973064,0.973176
9018064dec26d3015f0a476e63961b3cd864f4ba,4.024735,0.973064,0.974624,0.973064,0.973176
