init,time,accuracy,precision,recall,fscore
svc,0.394628,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.127052,0.944444,0.962166,0.944444,0.948446
nu_svc,1.480633,0.932660,0.935737,0.932660,0.932959
lin_svc,0.409883,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.537510,0.942761,0.945108,0.942761,0.942691
knn-auto,0.247300,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.166805,0.969697,0.971286,0.969697,0.969738
knn-brute,0.197676,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.227351,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.862150,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.088121,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.044236,0.794613,0.841574,0.794613,0.797305
randfc,0.053279,0.936027,0.938655,0.936027,0.935791
dt_classification,0.027728,0.819865,0.823472,0.819865,0.819781
logreg,0.458466,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.134264,0.924242,0.927668,0.924242,0.925284
passiveac,0.018036,0.924242,0.927668,0.924242,0.925284
