init,time,accuracy,precision,recall,fscore
svc,0.364592,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.065223,0.944444,0.962166,0.944444,0.948446
nu_svc,1.507249,0.932660,0.935737,0.932660,0.932959
lin_svc,0.513580,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.495908,0.942761,0.945108,0.942761,0.942691
knn-auto,0.240453,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.140165,0.969697,0.971286,0.969697,0.969738
knn-brute,0.288953,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.179477,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.426317,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.029995,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.036589,0.794613,0.841574,0.794613,0.797305
randfc,0.091508,0.936027,0.938655,0.936027,0.935791
dt_classification,0.027803,0.819865,0.823472,0.819865,0.819781
logreg,0.424149,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.177738,0.924242,0.927668,0.924242,0.925284
passiveac,0.088743,0.924242,0.927668,0.924242,0.925284
