init,time,accuracy,precision,recall,fscore
svc,0.384426,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.125132,0.944444,0.962166,0.944444,0.948446
nu_svc,1.332987,0.932660,0.935737,0.932660,0.932959
lin_svc,0.455310,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.562620,0.942761,0.945108,0.942761,0.942691
knn-auto,0.228279,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.165718,0.969697,0.971286,0.969697,0.969738
knn-brute,0.229188,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.225061,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.826085,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.072466,0.865320,0.869565,0.865320,0.866152
gaussiannb,0.011016,0.794613,0.841574,0.794613,0.797305
randfc,0.048864,0.934343,0.936773,0.934343,0.934173
dt_classification,0.028640,0.831650,0.834420,0.831650,0.832124
logreg,0.472466,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.024984,0.924242,0.927668,0.924242,0.925284
passiveac,0.023552,0.924242,0.927668,0.924242,0.925284
