version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
4c6ad90d2a91d439a46bc7e50828d396f10a7c8c,0.012356,0.501584,0.501579,4.081728,1.563380
6b16e9de61f4487bba84572028a5e5f8dfc28175,0.005312,0.500162,0.500160,4.093351,1.571050
3ddeb0e0e6eec5a55f14f5610493f4dec3583713,0.006891,0.500162,0.500160,4.093351,1.571050
2a830f6b087c183ef67761ab9ef87812ea2b624c,0.024264,0.500162,0.500160,4.093351,1.571050
b9d8fd56a2c3c5a065c76a625716890854dd90ae,0.005165,0.500162,0.500160,4.093351,1.571050
d7475414db9eda7a855268008fc386fa234f1d65,0.113428,0.500162,0.500160,4.093351,1.571050
dd2fdbb18cb1ebe8acadfb3c47bf7d0564a2ad5a,0.017434,0.501584,0.501579,4.081728,1.563380
c296e4961e9621e9225bf053f770e1247628d52f,0.024597,0.501584,0.501579,4.081728,1.563380
e5fb9dd5a4399873b99ee78b43457b93e6c48c64,0.020200,0.501584,0.501579,4.081728,1.563380
9ffd954ea619618df86581d9a9ca2a58ed747da0,0.041750,0.501584,0.501579,4.081728,1.563380
6aefa534e5ba0fa717c2366ce79162ebff0ea6ae,0.063210,0.501584,0.501579,4.081728,1.563380
29e8377e1951fd79956e566011d8fd2cb3712f3f,0.114991,0.501584,0.501579,4.081728,1.563380
5a2eb018af4c098d56a4d6b76d60a5175f16993a,0.020164,0.500162,0.500160,4.093351,1.571050
4ff47d9eface2aab6772d0c8269a02d88d35fd4d,0.062040,0.501584,0.501579,4.081728,1.563380
4ff47d9eface2aab6772d0c8269a02d88d35fd4d,0.030578,0.501584,0.501579,4.081728,1.563380
e5957928d3536dfb4b2771af433854e91594d9fb,0.005580,0.501584,0.501579,4.081728,1.563380
e5957928d3536dfb4b2771af433854e91594d9fb,0.006755,0.501584,0.501579,4.081728,1.563380
f7ca553d007ede31e58b0fd9e332eab8e6cfbd05,0.004253,0.501584,0.501579,4.081728,1.563380
50c0a8d53185cd8108cd083492fb8fd9e780263e,0.007362,0.501584,0.501579,4.081728,1.563380
c41e640dccadbbba833efdd1d7eb0044822dfbae,0.006118,0.500162,0.500160,4.093351,1.571050
ef919992f624f9df649fffc10719660c4ff6a706,0.040327,0.500162,0.500160,4.093351,1.571050
df59b31dc1536cd367e67873c04b4a0ba822494c,0.034926,0.500162,0.500160,4.093351,1.571050
4d7256385f8141b8edeca2cbacf51574e8e1bc00,0.005748,0.500162,0.500160,4.093351,1.571050
28cd9c8e0f0ad84769b48048f8cf59c6563d1031,0.025015,0.500162,0.500160,4.093351,1.571050
1678bd5ea41bdbbe2484e258a3446bc8b4fd19c5,0.028279,0.500162,0.500160,4.093351,1.571050
175f50ebc8a374b6f9158897c00976ef69ccb722,0.051186,0.500162,0.500160,4.093351,1.571050
e42a0fb82aa9d9ec0fd04d54042c44ecee2ae02a,0.008807,0.500162,0.500160,4.093351,1.571050
ec1bba7f525a6be6495bc868f0ce5bbba6b72f6b,0.036317,0.500162,0.500160,4.093351,1.571050
f11f5c849e384db0be6cd535c62974afaf9a8e2b,0.089710,0.500162,0.500160,4.093351,1.571050
8f3ef2aa901ada25ed4b5ee5ff0205eec538165b,0.020965,0.500162,0.500160,4.093351,1.571050
da9a91d8f5607703c5f7f5543e84e341611fea5c,0.007483,0.500162,0.500160,4.093351,1.571050
e8356d39d51c66109936316c53933af459cab61b,0.086548,0.500162,0.500160,4.093351,1.571050
2e87da8e49092ef90a31faee365dcc452f378eb4,0.040331,0.500162,0.500160,4.093351,1.571050
64f7e540499bff6957e0913e2a1bd4cdddcafb8b,0.058194,0.500162,0.500160,4.093351,1.571050
36df8606dbf7ba9d191674143440e7b16719e319,0.008775,0.500162,0.500160,4.093351,1.571050
360456b6dc05a1d5a4b152c59abf48798600cbbe,0.005998,0.500162,0.500160,4.093351,1.571050
d6a4bc07413c109194df5987915539c2fe907bd5,0.019442,0.500162,0.500160,4.093351,1.571050
68fde201134aa60fceef742aa4c6cbf393b986e0,0.026169,0.500162,0.500160,4.093351,1.571050
