init,time,accuracy,precision,recall,fscore
svc,0.403090,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.991542,0.944444,0.962166,0.944444,0.948446
nu_svc,1.325431,0.932660,0.935737,0.932660,0.932959
lin_svc,0.444876,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.488462,0.942761,0.945108,0.942761,0.942691
knn-auto,0.292364,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.166886,0.969697,0.971286,0.969697,0.969738
knn-brute,0.265371,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.227189,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.288027,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.037355,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.031362,0.794613,0.841574,0.794613,0.797305
randfc,0.062683,0.934343,0.936773,0.934343,0.934173
dt_classification,0.020326,0.831650,0.834420,0.831650,0.832124
logreg,0.379959,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.044389,0.936027,0.937742,0.936027,0.936450
passiveac,0.044568,0.936027,0.937742,0.936027,0.936450
init,time,accuracy,precision,recall,fscore
svc,0.375920,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.089393,0.944444,0.962166,0.944444,0.948446
nu_svc,1.439433,0.932660,0.935737,0.932660,0.932959
lin_svc,0.362455,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.487221,0.942761,0.945108,0.942761,0.942691
knn-auto,0.226556,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.197866,0.969697,0.971286,0.969697,0.969738
knn-brute,0.126144,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.191539,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.262411,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.008948,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.009685,0.794613,0.841574,0.794613,0.797305
randfc,0.078722,0.934343,0.936773,0.934343,0.934173
dt_classification,0.028299,0.831650,0.834420,0.831650,0.832124
logreg,0.360037,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.031909,0.936027,0.937742,0.936027,0.936450
passiveac,0.035816,0.936027,0.937742,0.936027,0.936450
