init,time,accuracy,precision,recall,fscore
svc,0.406813,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.152275,0.944444,0.962166,0.944444,0.948446
nu_svc,1.496255,0.932660,0.935737,0.932660,0.932959
lin_svc,0.524915,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.541955,0.942761,0.945108,0.942761,0.942691
knn-auto,0.234497,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.160194,0.969697,0.971286,0.969697,0.969738
knn-brute,0.173591,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.213932,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.886453,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.080477,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.043962,0.794613,0.841574,0.794613,0.797305
randfc,0.046966,0.934343,0.936773,0.934343,0.934173
dt_classification,0.028689,0.831650,0.834420,0.831650,0.832124
logreg,0.405085,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.140251,0.936027,0.937742,0.936027,0.936450
passiveac,0.104139,0.936027,0.937742,0.936027,0.936450
