init,time,accuracy,precision,recall,fscore
svc,0.294305,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.875350,0.944444,0.962166,0.944444,0.948446
nu_svc,1.402695,0.932660,0.935737,0.932660,0.932959
lin_svc,0.410324,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.414744,0.942761,0.945108,0.942761,0.942691
knn-auto,0.276193,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.163680,0.969697,0.971286,0.969697,0.969738
knn-brute,0.131003,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.233741,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.420195,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.026997,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.094579,0.794613,0.841574,0.794613,0.797305
randfc,0.045900,0.944444,0.946437,0.944444,0.944593
dt_classification,0.058481,0.826599,0.832417,0.826599,0.827944
logreg,0.467538,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.100861,0.936027,0.937742,0.936027,0.936450
passiveac,0.023788,0.936027,0.937742,0.936027,0.936450
