init,time,accuracy,precision,recall,fscore
svc,0.402078,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.157022,0.944444,0.962166,0.944444,0.948446
nu_svc,1.520027,0.932660,0.935737,0.932660,0.932959
lin_svc,0.344794,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.469970,0.942761,0.945108,0.942761,0.942691
knn-auto,0.287737,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.162409,0.969697,0.971286,0.969697,0.969738
knn-brute,0.134571,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.216371,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.931243,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.084871,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.008777,0.794613,0.841574,0.794613,0.797305
randfc,0.063661,0.924242,0.928046,0.924242,0.924226
dt_classification,0.055831,0.826599,0.832417,0.826599,0.827944
logreg,0.425294,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.015068,0.936027,0.937742,0.936027,0.936450
passiveac,0.015265,0.936027,0.937742,0.936027,0.936450
