init,time,accuracy,precision,recall,fscore
svc,0.388233,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.088530,0.944444,0.962166,0.944444,0.948446
nu_svc,1.453674,0.932660,0.935737,0.932660,0.932959
lin_svc,0.406319,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.426776,0.942761,0.945108,0.942761,0.942691
knn-auto,0.296644,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.165014,0.969697,0.971286,0.969697,0.969738
knn-brute,0.128860,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.226958,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.316124,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.006527,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.009412,0.794613,0.841574,0.794613,0.797305
randfc,0.105465,0.925926,0.928839,0.925926,0.925583
dt_classification,0.056782,0.826599,0.832417,0.826599,0.827944
logreg,0.449551,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.087123,0.936027,0.937742,0.936027,0.936450
passiveac,0.086432,0.936027,0.937742,0.936027,0.936450
