init,time,accuracy,precision,recall,fscore
svc,0.434686,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.031447,0.944444,0.962166,0.944444,0.948446
nu_svc,1.121871,0.932660,0.935737,0.932660,0.932959
lin_svc,0.367476,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.477550,0.942761,0.945108,0.942761,0.942691
knn-auto,0.298231,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.152873,0.969697,0.971286,0.969697,0.969738
knn-brute,0.210164,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.220318,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.191152,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.037568,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.056343,0.794613,0.841574,0.794613,0.797305
randfc,0.037375,0.936027,0.938840,0.936027,0.935687
dt_classification,0.021058,0.826599,0.832417,0.826599,0.827944
logreg,0.358537,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.048506,0.936027,0.937742,0.936027,0.936450
passiveac,0.057592,0.936027,0.937742,0.936027,0.936450
