version,time,accuracy,precision,recall,fscore
c73c9a1c8b1e079a53df0f756ecff77af5b74aac,0.416211,0.942761,0.945108,0.942761,0.942691
b289d37e6472b78b7727f9417785cc56bf5d8938,0.426756,0.942761,0.945108,0.942761,0.942691
ec7cad314b820e093d6a4f520fa061447f2aaae2,0.406655,0.942761,0.945108,0.942761,0.942691
e33b3b8593344813d0675291d9d07a33cfde0b77,0.528118,0.942761,0.945108,0.942761,0.942691
ec05d9866f6fe1e9542373ddd07bd8e3d04295f4,0.413283,0.942761,0.945108,0.942761,0.942691
1fe371ea40ea3c4bd77b584fcd243c215f5222ee,0.412047,0.942761,0.945108,0.942761,0.942691
de6979397ee7ba660c395fe521fc34448c2e1dd3,0.484113,0.942761,0.945108,0.942761,0.942691
75a586642380d645733a2354749dbea1aeb32423,0.430452,0.942761,0.945108,0.942761,0.942691
bd0f2d5619d391c17500498ba70d51c4de78ccc4,0.402152,0.942761,0.945108,0.942761,0.942691
bd0f2d5619d391c17500498ba70d51c4de78ccc4,0.398102,0.942761,0.945108,0.942761,0.942691
178d0b6efdb0e357859070e3b7889ca008e14437,0.412494,0.942761,0.945108,0.942761,0.942691
178d0b6efdb0e357859070e3b7889ca008e14437,0.409814,0.942761,0.945108,0.942761,0.942691
48e8cd6c71a3f9f14697657c00d6fa360368082e,0.431413,0.942761,0.945108,0.942761,0.942691
cddf9a49f56dbdf98c5d379430e33681720a5427,0.424855,0.942761,0.945108,0.942761,0.942691
76ef30b054d675b8d1398c6486cb15e64a9f604d,0.401939,0.942761,0.945108,0.942761,0.942691
f5d9b5ba06f1bfec0e2955713dd273655c177afe,0.407844,0.942761,0.945108,0.942761,0.942691
3acda366d86a119edfcebe623da18d59948adb17,0.481083,0.942761,0.945108,0.942761,0.942691
5b55f57f25bdc5fc83561357c736858c53b29e46,0.410380,0.942761,0.945108,0.942761,0.942691
4f98ce2ec83b1d32ff0ee46b39c0eeb79af313d5,0.515499,0.942761,0.945108,0.942761,0.942691
96895ebd39974dbc106aab70153a3377e3bc6c92,0.410084,0.942761,0.945108,0.942761,0.942691
ab1a784f0b63c422b42e415358751ba67f2a51d1,0.455842,0.942761,0.945108,0.942761,0.942691
4ecc59f1403265597aeb286a950978f23f2c1aeb,0.400465,0.942761,0.945108,0.942761,0.942691
5ea6b3ac954faee33a21133385005dc5b4906156,0.418779,0.942761,0.945108,0.942761,0.942691
e633f252331792ae25bb048a90ad899f79cbdca6,0.498095,0.942761,0.945108,0.942761,0.942691
e4561b22fdbefb4e9be6530a32e81680dcefe655,0.382550,0.942761,0.945108,0.942761,0.942691
108e00923bfe9e65122871fab7c6b0dd5c4996ab,0.421651,0.942761,0.945108,0.942761,0.942691
5358be563a7536a00eee73ed889a71347d8c53eb,0.515030,0.942761,0.945108,0.942761,0.942691
1775095e18141a9686fe3031698304677a91f598,0.426162,0.942761,0.945108,0.942761,0.942691
2d12952d2adf8b46f88619ac75b5cf0ad5ad767c,0.399214,0.942761,0.945108,0.942761,0.942691
d7098332475b480078ffd461618fe2e752479432,0.418626,0.942761,0.945108,0.942761,0.942691
cf8201249c37880d92719301a14d068be1c0339b,0.426405,0.942761,0.945108,0.942761,0.942691
08b290255da0a39761bd19ba6246b6fa77699d1c,0.358942,0.942761,0.945108,0.942761,0.942691
3b8dc3dc72f0752e4efc8f5acdc777876fe7420b,0.390044,0.942761,0.945108,0.942761,0.942691
e7e49a6c8673cc6e7f8c686497f78e9890903144,0.404706,0.942761,0.945108,0.942761,0.942691
4bd4e9a466aa74a410641a1258410d83656f28eb,0.436607,0.942761,0.945108,0.942761,0.942691
3729143bd07737cf0d872cc087b0d1593b543f18,0.563642,0.942761,0.945108,0.942761,0.942691
5be7cc2063734a2e951b4f950da45b8a2cc61c68,0.363088,0.942761,0.945108,0.942761,0.942691
9a4c9f2064c812019148b02fd6baf9ab19961bce,0.429647,0.942761,0.945108,0.942761,0.942691
82611e83f94e18a2e072198a51713e30b84083dc,0.379036,0.942761,0.945108,0.942761,0.942691
03a78d573d9f692308d32dcfe4e3d70c199b7c84,0.524258,0.942761,0.945108,0.942761,0.942691
ac45e5d03cabf67b7673e568c6bd389d8af21e36,0.356562,0.942761,0.945108,0.942761,0.942691
849f89fe147fca17069c75215a7277530aa49be4,0.347811,0.942761,0.945108,0.942761,0.942691
b9f6ac4038f0cebe3be72b24d8dd8e8151115fbd,0.395476,0.942761,0.945108,0.942761,0.942691
f62a6d1723a152a8dc20b617181d457c9f6bc255,0.442118,0.942761,0.945108,0.942761,0.942691
6f4b31aabdb23bc3d94515a4a9e882a01d09c1af,0.418026,0.942761,0.945108,0.942761,0.942691
79d965afcc5d04d73c835ee80b1e1577146ec7b1,0.413924,0.942761,0.945108,0.942761,0.942691
987170713e1083cdc0307084c131cf115fd12668,0.453503,0.942761,0.945108,0.942761,0.942691
39f831d466b349ddf94c93de471a9908857cb912,0.394948,0.942761,0.945108,0.942761,0.942691
72b3da8302d047b9e3e4401e3033b389faf4b0ec,0.412372,0.942761,0.945108,0.942761,0.942691
72c60eba94446950c08a82f1300a7fe29cf1bdef,0.438193,0.942761,0.945108,0.942761,0.942691
d72f9585960718b7fc78bf31790556131a98ae88,0.384089,0.942761,0.945108,0.942761,0.942691
216204f9f27521e80126a7d9703208bbb6472267,0.488792,0.942761,0.945108,0.942761,0.942691
7e9c093585cd4d53ad5753c9b6e1bf9b339d399b,0.360585,0.942761,0.945108,0.942761,0.942691
68280fb4254b0781a66a1d2689708068799f0bbe,0.407058,0.942761,0.945108,0.942761,0.942691
e14b7166298f6fd9ed9ac2042172053185994db5,0.420058,0.942761,0.945108,0.942761,0.942691
a00fffd93970d29614fbef72f1102db46b05e209,0.415781,0.942761,0.945108,0.942761,0.942691
777123d63d725cf5d9a2ce94baa9c241d6ac502e,0.443502,0.942761,0.945108,0.942761,0.942691
