init,time,accuracy,precision,recall,fscore
svc,0.289709,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.807214,0.944444,0.962166,0.944444,0.948446
nu_svc,1.417514,0.932660,0.935737,0.932660,0.932959
lin_svc,0.374780,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.515508,0.942761,0.945108,0.942761,0.942691
knn-auto,0.274203,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.153741,0.969697,0.971286,0.969697,0.969738
knn-brute,0.151415,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.225212,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.745932,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.039630,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.068348,0.794613,0.841574,0.794613,0.797305
randfc,0.082346,0.944444,0.946437,0.944444,0.944593
dt_classification,0.062808,0.826599,0.832417,0.826599,0.827944
logreg,0.392325,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.029229,0.936027,0.937742,0.936027,0.936450
passiveac,0.030455,0.936027,0.937742,0.936027,0.936450
