init,time,accuracy,precision,recall,fscore
svc,0.300790,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.942770,0.944444,0.962166,0.944444,0.948446
nu_svc,1.319056,0.932660,0.935737,0.932660,0.932959
lin_svc,0.335443,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.366485,0.942761,0.945108,0.942761,0.942691
knn-auto,0.217717,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.154220,0.969697,0.971286,0.969697,0.969738
knn-brute,0.120383,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.219215,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.566622,0.974747,0.975109,0.974747,0.974843
bernoullinb,0.113758,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.060185,0.794613,0.841574,0.794613,0.797305
randfc,0.068661,0.944444,0.946437,0.944444,0.944593
dt_classification,0.056666,0.826599,0.832417,0.826599,0.827944
logreg,0.451577,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.030253,0.936027,0.937742,0.936027,0.936450
passiveac,0.059731,0.936027,0.937742,0.936027,0.936450
