init,time,accuracy,precision,recall,fscore
svc,0.358456,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.804747,0.944444,0.962166,0.944444,0.948446
nu_svc,1.175790,0.932660,0.935737,0.932660,0.932959
lin_svc,0.424760,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.483240,0.942761,0.945108,0.942761,0.942691
knn-auto,0.255202,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.151725,0.969697,0.971286,0.969697,0.969738
knn-brute,0.136486,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.230164,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.501192,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.076143,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.046999,0.794613,0.841574,0.794613,0.797305
logreg,0.521938,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.049697,0.936027,0.937742,0.936027,0.936450
passiveac,0.019309,0.936027,0.937742,0.936027,0.936450
