init,time,accuracy,precision,recall,fscore
svc,0.281683,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.885481,0.944444,0.962166,0.944444,0.948446
nu_svc,1.129875,0.932660,0.935737,0.932660,0.932959
lin_svc,0.400011,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.462358,0.942761,0.945108,0.942761,0.942691
knn-auto,0.250618,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.163119,0.969697,0.971286,0.969697,0.969738
knn-brute,0.183612,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.228916,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.802592,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.050957,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.032961,0.794613,0.841574,0.794613,0.797305
randfc,0.086123,0.936027,0.937720,0.936027,0.935677
dt_classification,0.044272,0.831650,0.834547,0.831650,0.832122
logreg,0.453765,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.116038,0.936027,0.937742,0.936027,0.936450
passiveac,0.027682,0.936027,0.937742,0.936027,0.936450
