init,time,accuracy,precision,recall,fscore
svc,0.400640,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.996049,0.944444,0.962166,0.944444,0.948446
nu_svc,1.367559,0.932660,0.935737,0.932660,0.932959
lin_svc,0.429770,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.548745,0.942761,0.945108,0.942761,0.942691
knn-auto,0.223239,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.167024,0.969697,0.971286,0.969697,0.969738
knn-brute,0.130359,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.268104,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.951206,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.007611,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.009444,0.794613,0.841574,0.794613,0.797305
logreg,0.406035,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.019407,0.936027,0.937742,0.936027,0.936450
passiveac,0.017183,0.936027,0.937742,0.936027,0.936450
