init,time,accuracy,precision,recall,fscore
svc,0.293602,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.953162,0.944444,0.962166,0.944444,0.948446
nu_svc,1.140334,0.932660,0.935737,0.932660,0.932959
lin_svc,0.381953,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.553766,0.942761,0.945108,0.942761,0.942691
knn-auto,0.123076,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.161055,0.969697,0.971286,0.969697,0.969738
knn-brute,0.301325,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.544967,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.341929,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.069633,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.066591,0.794613,0.841574,0.794613,0.797305
logreg,0.375876,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.054081,0.936027,0.937742,0.936027,0.936450
passiveac,0.073320,0.936027,0.937742,0.936027,0.936450
