init,time,accuracy,precision,recall,fscore
svc,0.401889,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.999540,0.944444,0.962166,0.944444,0.948446
nu_svc,1.355696,0.932660,0.935737,0.932660,0.932959
lin_svc,0.354910,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.479874,0.942761,0.945108,0.942761,0.942691
knn-auto,0.237684,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.160624,0.969697,0.971286,0.969697,0.969738
knn-brute,0.133003,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.489735,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.129010,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.021975,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.009805,0.794613,0.841574,0.794613,0.797305
logreg,0.430663,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.067193,0.936027,0.937742,0.936027,0.936450
passiveac,0.067030,0.936027,0.937742,0.936027,0.936450
