init,time,accuracy,precision,recall,fscore
svc,0.406929,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.169094,0.944444,0.962166,0.944444,0.948446
nu_svc,1.562668,0.932660,0.935737,0.932660,0.932959
lin_svc,0.413120,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.476062,0.942761,0.945108,0.942761,0.942691
knn-auto,0.165875,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.171332,0.969697,0.971286,0.969697,0.969738
knn-brute,0.214421,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.491545,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.441915,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.047768,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.035120,0.794613,0.841574,0.794613,0.797305
logreg,0.465780,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.051322,0.936027,0.937742,0.936027,0.936450
passiveac,0.069944,0.936027,0.937742,0.936027,0.936450
