init,time,accuracy,precision,recall,fscore
svc,0.309755,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.010167,0.944444,0.962166,0.944444,0.948446
nu_svc,1.239132,0.932660,0.935737,0.932660,0.932959
lin_svc,0.398047,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.525143,0.942761,0.945108,0.942761,0.942691
knn-auto,0.171134,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.170968,0.969697,0.971286,0.969697,0.969738
knn-brute,0.180754,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.403000,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.580196,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.027159,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.049218,0.794613,0.841574,0.794613,0.797305
logreg,0.443440,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.042866,0.934343,0.936444,0.934343,0.934802
passiveac,0.031968,0.934343,0.936444,0.934343,0.934802
