init,time,accuracy,precision,recall,fscore
svc,0.415088,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.092419,0.944444,0.962166,0.944444,0.948446
nu_svc,1.492983,0.932660,0.935737,0.932660,0.932959
lin_svc,0.490696,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.505400,0.942761,0.945108,0.942761,0.942691
knn-auto,0.175668,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.167991,0.969697,0.971286,0.969697,0.969738
knn-brute,0.266304,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.518653,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.641852,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.101203,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.070642,0.794613,0.841574,0.794613,0.797305
logreg,0.500348,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.017930,0.934343,0.936444,0.934343,0.934802
passiveac,0.059623,0.934343,0.936444,0.934343,0.934802
init,time,accuracy,precision,recall,fscore
svc,0.403708,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.130453,0.944444,0.962166,0.944444,0.948446
nu_svc,1.525925,0.932660,0.935737,0.932660,0.932959
lin_svc,0.524649,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.601379,0.942761,0.945108,0.942761,0.942691
knn-auto,0.217854,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.156609,0.969697,0.971286,0.969697,0.969738
knn-brute,0.340189,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.470616,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.787077,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.108401,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.108798,0.794613,0.841574,0.794613,0.797305
logreg,0.512154,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.218486,0.934343,0.936444,0.934343,0.934802
passiveac,0.131565,0.934343,0.936444,0.934343,0.934802
