init,time,accuracy,precision,recall,fscore
svc,0.399306,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.128322,0.944444,0.962166,0.944444,0.948446
nu_svc,1.479108,0.932660,0.935737,0.932660,0.932959
lin_svc,0.506599,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.523966,0.942761,0.945108,0.942761,0.942691
knn-auto,0.172563,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.171737,0.969697,0.971286,0.969697,0.969738
knn-brute,0.162655,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.506054,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.529436,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.056842,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.023035,0.794613,0.841574,0.794613,0.797305
logreg,0.379524,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.032691,0.934343,0.936444,0.934343,0.934802
passiveac,0.036252,0.934343,0.936444,0.934343,0.934802
init,time,accuracy,precision,recall,fscore
svc,0.399064,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.083680,0.944444,0.962166,0.944444,0.948446
nu_svc,1.453960,0.932660,0.935737,0.932660,0.932959
lin_svc,0.434737,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.513264,0.942761,0.945108,0.942761,0.942691
knn-auto,0.214021,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.160548,0.969697,0.971286,0.969697,0.969738
knn-brute,0.243602,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.561529,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.966460,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.083180,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.091373,0.794613,0.841574,0.794613,0.797305
logreg,0.564947,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.130567,0.934343,0.936444,0.934343,0.934802
passiveac,0.150636,0.934343,0.936444,0.934343,0.934802
