init,time,accuracy,precision,recall,fscore
svc,0.402553,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.126021,0.944444,0.962166,0.944444,0.948446
nu_svc,1.478678,0.932660,0.935737,0.932660,0.932959
lin_svc,0.412294,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.472796,0.942761,0.945108,0.942761,0.942691
knn-auto,0.222133,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.170299,0.969697,0.971286,0.969697,0.969738
knn-brute,0.211127,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.517700,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.877426,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.060851,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.019780,0.794613,0.841574,0.794613,0.797305
logreg,0.435865,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.101008,0.934343,0.936444,0.934343,0.934802
passiveac,0.094687,0.934343,0.936444,0.934343,0.934802
init,time,accuracy,precision,recall,fscore
svc,0.403151,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.128828,0.944444,0.962166,0.944444,0.948446
nu_svc,1.546554,0.932660,0.935737,0.932660,0.932959
lin_svc,0.414176,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.456443,0.942761,0.945108,0.942761,0.942691
knn-auto,0.201930,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.155886,0.969697,0.971286,0.969697,0.969738
knn-brute,0.249847,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.470424,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.868533,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.082684,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.022828,0.794613,0.841574,0.794613,0.797305
logreg,0.466990,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.041148,0.934343,0.936444,0.934343,0.934802
passiveac,0.075357,0.934343,0.936444,0.934343,0.934802
