init,time,accuracy,precision,recall,fscore
svc,0.401909,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.065187,0.944444,0.962166,0.944444,0.948446
nu_svc,1.273925,0.932660,0.935737,0.932660,0.932959
lin_svc,0.364965,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.411010,0.942761,0.945108,0.942761,0.942691
knn-auto,0.241461,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.163522,0.969697,0.971286,0.969697,0.969738
knn-brute,0.269044,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.476538,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.757134,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.116382,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.064137,0.794613,0.841574,0.794613,0.797305
logreg,0.398693,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.052663,0.934343,0.936444,0.934343,0.934802
passiveac,0.019758,0.934343,0.936444,0.934343,0.934802
init,time,accuracy,precision,recall,fscore
svc,0.403048,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.128990,0.944444,0.962166,0.944444,0.948446
nu_svc,1.403336,0.932660,0.935737,0.932660,0.932959
lin_svc,0.403454,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.558917,0.942761,0.945108,0.942761,0.942691
knn-auto,0.207014,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.170686,0.969697,0.971286,0.969697,0.969738
knn-brute,0.404610,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.471180,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.826699,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.076098,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.077084,0.794613,0.841574,0.794613,0.797305
logreg,0.582509,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.121550,0.934343,0.936444,0.934343,0.934802
passiveac,0.062673,0.934343,0.936444,0.934343,0.934802
