init,time,accuracy,precision,recall,fscore
svc,0.408156,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.152818,0.944444,0.962166,0.944444,0.948446
nu_svc,1.294974,0.932660,0.935737,0.932660,0.932959
lin_svc,0.413399,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.600754,0.942761,0.945108,0.942761,0.942691
knn-auto,0.236165,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.165321,0.969697,0.971286,0.969697,0.969738
knn-brute,0.284361,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.503492,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.901075,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.104839,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.077337,0.794613,0.841574,0.794613,0.797305
logreg,0.498843,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.150145,0.934343,0.936444,0.934343,0.934802
passiveac,0.112112,0.934343,0.936444,0.934343,0.934802
init,time,accuracy,precision,recall,fscore
svc,0.408368,0.974747,0.975153,0.974747,0.974804
rbf_svc,1.117721,0.944444,0.962166,0.944444,0.948446
nu_svc,1.427570,0.932660,0.935737,0.932660,0.932959
lin_svc,0.373706,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.517959,0.942761,0.945108,0.942761,0.942691
knn-auto,0.235435,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.172158,0.969697,0.971286,0.969697,0.969738
knn-brute,0.247668,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.519294,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,2.917465,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.017725,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.010219,0.794613,0.841574,0.794613,0.797305
logreg,0.469324,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.095956,0.934343,0.936444,0.934343,0.934802
passiveac,0.027638,0.934343,0.936444,0.934343,0.934802
